x_um,Ex_real_Vpm,Ex_imag_Vpm,Ey_real_Vpm,Ey_imag_Vpm,Ez_real_Vpm,Ez_imag_Vpm
-8.209982481318667,366.6287213645919,-89.90378661092109,-520006.3172638988,-299198.38791435026,-10788.712510623227,-15144.198709173754
-8.193931684678748,509.6207291048486,-307.2911075898446,-519474.8177177957,-297688.9373869305,-11275.73795553663,-15074.221602934605
-8.177880888038828,2514.6350680736505,-776.0345552274957,-517269.85986746766,-295701.25046376686,-11386.557226222343,-15040.054307932172
-8.16183009139891,3823.1925043902374,111.93528918547963,-515664.70539473684,-291692.93788412923,-11260.391207052453,-15010.143398723536
-8.14577929475899,5291.071118327007,876.2940089580079,-514226.21144140896,-286695.52480941295,-11501.047567865957,-14756.290154910934
-8.129728498119071,5172.863929676969,815.0322945894331,-511204.0459257649,-280682.1701917056,-11276.89061940369,-15093.22339792255
-8.113677701479151,5762.171856928755,121.36716183483122,-507650.9247341188,-273701.1131677708,-10736.159616828867,-14731.616052692334
-8.097626904839233,6147.447806471762,-795.7425085144278,-503833.93695674837,-266039.621763912,-10140.428002714183,-14327.593191988559
-8.081576108199313,6970.785536358009,-319.45540470416745,-499841.4388592345,-256955.15406394465,-9606.61371234557,-14179.309700571775
-8.065525311559394,7794.123266244322,156.83169910605466,-495556.2645668868,-247278.59933979964,-9054.278212453151,-13986.86489614431
-8.049474514919474,8617.460996130638,633.1188029163222,-490978.41407970374,-237009.9575914745,-8483.42150303669,-13750.258778706055
-8.033423718279556,9440.798726016863,1109.4059067265362,-486107.8873976869,-226149.22881897187,-7894.04358409642,-13469.491348257128
-8.017372921639636,10264.136455903232,1585.693010536801,-480944.6845208345,-214696.4130222889,-7286.144455631584,-13144.56260479719
-8.001322124999717,11087.47418578936,2061.9801143469576,-475488.8054491478,-202651.51020142838,-6659.7241176432,-12775.47254832671
-7.985271328359798,12357.504453856905,1534.18542064364,-470333.41674427496,-189014.97080613216,-6284.952736011939,-12558.475660728378
-7.969220531719879,11237.08322143351,1477.6860709712491,-462664.53857671807,-175826.44518285902,-5248.880728186719,-11503.113787630951
-7.9531697350799595,10576.90491437752,-3456.076350792573,-455213.092666731,-161309.57286558498,-4493.520669662379,-11876.888977549905
-7.93711893844004,13067.627277137464,452.2562266259192,-446533.4317157532,-145554.8661225948,-5349.954889307424,-13134.501486238474
-7.921068141800121,13355.472568178651,850.4037126350158,-437963.21826583234,-130058.07343481074,-4977.455950672622,-12170.359137206891
-7.905017345160202,13355.559339038737,3049.4113093399233,-429600.82645087095,-111288.9967260102,-4930.189150379854,-8761.704508948156
-7.888966548520283,14007.369038874669,3015.729887206099,-419964.6486019619,-95574.98818964568,-3879.8034307208072,-8536.696507644185
-7.872915751880364,14659.17873871068,2982.0484650722697,-410090.9388306207,-79814.07460045713,-2827.9355490275893,-8311.532389458007
-7.856864955240445,15310.988438546714,2948.3670429384406,-399979.69713684777,-64006.25595844544,-1774.5855053004452,-8086.212154389635
-7.8408141586005256,15962.798138382721,2914.6856208046133,-389630.9235206444,-48151.53226361238,-719.7532995394322,-7860.7358024391
-7.824763361960606,16614.607838218755,2881.0041986707843,-379044.6179820099,-32249.903515957063,336.5610682554834,-7635.103333606383
-7.808712565320687,17266.417538054753,2847.3227765369547,-368220.78052094416,-16301.36971547947,1394.3575980843925,-7409.314747891481
-7.792661768680768,17848.44244375125,-2391.2175800349924,-357027.24395355064,3094.459737516183,2388.505393894593,-7661.926918386192
-7.7766109720408485,18105.069328009893,-2016.322659500571,-345272.92018131126,17961.700290914403,3227.7242873019713,-6032.854029805683
-7.760560175400929,18361.696212268347,-1641.4277389661247,-333355.7380217176,32626.853707204406,4061.1133567125507,-4400.222184350115
-7.74450937876101,18378.571043690376,5832.112672414534,-321283.00575843564,46526.74172582278,4957.583187527199,-5918.1623134899755
-7.728458582121091,18559.949622579956,5610.382020525472,-309111.0723400779,60745.81480636061,5748.82443148319,-5634.173731489946
-7.7124077854811715,18741.3282014696,5388.651368636402,-296772.6014968266,74469.28578018627,6530.217104644622,-5332.368607753571
-7.696356988841252,18922.70678035906,5166.920716747398,-284267.59322868125,87697.15464730057,7301.761207011592,-5012.746942280875
-7.680306192201334,19104.085359248646,4945.190064858363,-271596.0475356432,100429.42140770206,8063.45673858388,-4675.3087350718215
-7.6642553955614146,19313.96951206935,4489.406642096298,-258775.55862055995,113171.18582554368,8823.069675680947,-3924.5674176183966
-7.648204598921495,19461.092676562726,4087.9203594919704,-245570.9249970056,125664.10352236332,9789.403961922222,-2904.921736825827
-7.632153802281576,19608.21584105608,3686.4340768875877,-232173.35467867454,137640.09229074293,10752.731122777932,-1900.7948817846682
-7.616103005641657,19755.33900554939,3284.9477942832978,-218582.8476655692,149099.15213068062,11713.051158247888,-912.1868524950987
-7.6000522090017375,19902.462170042745,2883.4615116789437,-204799.40395768735,160041.28304217846,12670.364068332306,60.90235104309886
-7.584001412361818,20049.585334536092,2481.9752290746037,-190823.02355502977,170466.48502523577,13624.669853031084,1018.4727288297781
-7.567950615721899,20094.54693352201,4010.890957545216,-176865.46999423625,186667.6941518222,14677.927402880814,-2412.4501284502694
-7.55189981908198,21094.603879024966,-4008.822655716176,-161699.26701705268,193165.30473954417,14756.668966387759,2072.651372266345
-7.5358490224420605,18868.49283577757,5960.042285581265,-146069.18817888197,195592.0156534886,14832.415950231607,3759.172525879856
-7.519798225802141,18887.7559077388,7855.532501240625,-131595.40006772097,201325.44686807555,14968.768545853482,4745.06568406535
-7.503747429162223,18907.018979700093,9751.022716899737,-116993.26115609116,206217.05937132932,15094.14041072622,5737.925583248369
-7.487696632522303,20422.338923669948,9325.637691592276,-102285.17409075992,209307.6309116221,16188.39310045181,5693.127249184483
-7.471645835882384,20062.95949311623,8773.518467184618,-88037.14451254325,211369.7373069352,16435.065316909386,5592.787785522461
-7.455595039242465,19703.580062562494,8221.399242776823,-73750.99133564718,212511.75221322395,16646.891088593195,5487.823160049037
-7.439544242602546,19344.200632008753,7669.280018369042,-59426.714560072476,212733.67563048837,16823.8704155031,5378.233372764802
-7.4234934459626265,18549.74423863725,7798.0846451414545,-44827.72937407428,211956.70801080376,15732.598369504907,5346.662925741708
-7.407442649322707,18643.2142801508,8777.09679397814,-30629.244299903556,210049.1247158105,16170.964301073585,6662.579329727043
-7.391391852682788,18736.684321664346,9756.10894281479,-16494.601526370247,207324.64479858702,16578.86332385043,7966.010817206552
-7.375341056042869,18830.15436317789,10735.121091651454,-2423.8010534742934,203783.26825913304,16956.295437835466,9256.957388180177
-7.3592902594029495,18496.347213726276,9447.820647101562,10859.408750180104,194794.98241330084,16760.311625497146,7213.930677725286
-7.34323946276303,17970.83855558462,9098.407538657282,24030.046601930564,187929.99472084464,16485.94435172318,7263.100752958731
-7.327188666123111,17445.32989744296,8748.994430212957,37064.94807949238,180301.79079780352,16171.850849972161,7300.858209538959
-7.311137869483192,16262.63574031969,9619.193068406586,49925.644583089874,170347.27296285628,15785.39970502717,7514.9133588708455
-7.295087072843273,16190.84468296423,10294.815490595862,61922.47319057442,159116.1606547165,15567.473998113244,7693.417496108484
-7.279036276203353,16119.053625608789,10970.437912785272,73613.34943683558,147298.17378364224,15297.531065814934,7869.722414189759
-7.262985479563435,16047.262568253322,11646.060334974547,84998.27332187073,134893.31234963605,14975.570908132331,8043.828113114736
-7.2469346829235155,15685.408413057194,11882.458212753456,97204.14887713475,124056.3470487526,15165.552061793125,9313.289155828403
-7.230883886283596,16195.61428053851,13115.029067905987,109401.76257978272,110627.76603317453,14503.457198215205,9222.154270126723
-7.214833089643677,15333.690318616107,12990.320741439886,120060.39119939391,95128.01787697236,14137.019523654868,9585.098079741432
-7.198782293003758,14471.766356693879,12865.612414973839,130461.60201942612,78941.28424156795,13749.910951032582,9904.569895714796
-7.1827314963638385,13609.842394771706,12740.904088507797,140605.39503987913,62067.56512696121,13342.131480348395,10180.569718046838
-7.166680699723919,12747.918432849448,12616.195762041749,150491.7702607528,44506.860533152125,12913.681111602336,10413.097546737574
-7.150629903084,11885.994470927224,12491.487435575717,160120.72768204703,26259.17046014073,12464.559844794436,10602.153381786984
-7.134579106444081,11024.070509004981,12366.779109109644,169492.26730376226,7324.494907927026,11994.767679924702,10747.737223195107
-7.118528309804161,11742.735725083308,12113.639241350204,177889.53393670107,-12397.586759424363,11461.975758272683,10881.891504779134
-7.102477513164242,11081.235503378439,12523.40040712135,185677.4145976364,-33039.68516731301,10987.872149093171,11020.821111511665
-7.086426716524324,10419.735281673635,12933.161572892468,193020.77813625804,-53960.96868274326,10482.286374465104,11131.839796541626
-7.070375919884404,9758.235059968718,13342.922738663638,199919.62455256685,-75161.43730571862,9945.218434388305,11214.947559869035
-7.054325123244485,9096.73483826388,13752.683904434765,206373.9538465617,-96641.09103623441,9376.668328863016,11270.144401493882
-7.038274326604566,9663.014501610674,14225.44870111335,212441.24857142722,-118287.66041672345,6518.0669870856145,11114.143603741668
-7.022223529964647,9273.33928790191,14474.35334877369,218462.327275113,-139878.9146136048,5656.428503760924,11160.985513560756
-7.0061727333247275,8883.664074193151,14723.25799643404,224063.90355673915,-161797.52625468446,4772.769463070956,11185.667681353532
-6.990121936684808,5410.252420055427,9045.510533544457,225460.47212117125,-191264.60731462805,4314.188927034313,11947.945313979797
-6.974071140044889,8551.871629574109,11368.441620221973,228254.91868849838,-215622.62902493856,3771.2621679998974,11550.942881347579
-6.95802034340497,7918.526507628404,15755.977545542599,230985.06638666047,-235188.38389652816,2635.192989513085,14907.391391115958
-6.94196954676505,6297.35519660096,13939.407812002792,232376.3209477483,-254882.21163407006,609.6898718432003,12166.56568140947
-6.925918750125131,5783.667884474529,13932.675454794859,232057.25975792913,-276383.3709660382,-61.97249078301115,11667.40538150907
-6.909867953485212,5269.980572348159,13925.94309758686,231228.2413023521,-297525.66688808776,-748.8821162146438,11116.545182434602
-6.893817156845293,4756.293260221854,13919.21074037873,229889.26558101733,-318309.0994002182,-1451.0390044517335,10513.985084185926
-6.877766360205374,4242.605948095457,13912.478383170783,228040.33259392454,-338733.66850242845,-2168.443155494174,9859.725086763172
-6.861715563565454,3728.918635969098,13905.746025962731,225681.44234107397,-358799.37419472233,-2901.094569342269,9153.76519016645
-6.845664766925536,3215.231323842821,13899.013668754587,222812.59482246556,-378506.21647709503,-3648.993245995679,8396.105394395567
-6.8296139702856165,2701.5440117164735,13892.28131154648,219433.79003809945,-397854.1953495503,-4412.139185454756,7586.745699450843
-6.813563173645697,2459.712234482635,12085.01647439078,215527.66187477903,-416923.63227709476,-5122.6658449622355,7192.066496172101
-6.797512377005778,2503.130661089235,11609.82726020561,211029.0333444075,-435589.4482347882,-5743.940758402066,6391.391716600629
-6.781461580365859,2546.549087695763,11134.638046020467,205934.68969350262,-453669.4853405706,-6353.91300225642,5568.108865616377
-6.765410783725939,2589.9675143023196,10659.448831835325,200244.63092206427,-471163.74359444156,-6952.58257652547,4722.2179432196135
-6.74935998708602,2633.3859409088327,10184.259617650212,193958.8570300925,-488072.22299640154,-7539.949481209042,3853.7189494100458
-6.733309190446101,735.0900481026038,10209.345000024798,185939.95907671074,-503661.02334554645,-9667.062741467205,3583.436379488121
-6.717258393806182,28.523875794082414,10687.611840780723,178177.684815089,-517916.9717985712,-10659.48899530281,3868.5654680518783
-6.701207597166262,-678.0422965144971,11165.878681536939,169953.463008099,-531483.8115692743,-11629.762568839084,4149.505806826579
-6.685156800526343,-1384.6084688230403,11644.145522292965,161267.2936557407,-544361.5426576558,-12577.883462075948,4426.257395812019
-6.669106003886425,1086.6716464434448,6946.541672086518,150506.39146544886,-552550.9414034013,-13016.902701286774,3043.823279345219
-6.653055207246505,796.7502691636028,8659.834979221101,139764.65584382528,-565247.4409654781,-13910.333923753242,4558.1138206353935
-6.637004410606586,577.813863768868,8992.648048534335,128350.82207518934,-572389.2551362712,-14658.432796660676,3868.2537819420104
-6.620953613966667,358.8774583741033,9325.46111784759,116661.8329950703,-578623.2392211338,-15374.240459455325,3166.0442075671745
-6.604902817326748,139.94105297934402,9658.274187160947,104697.68860346888,-583949.3932200659,-16057.756912137167,2451.48509751074
-6.588852020686828,-78.99535241543163,9991.08725647445,92458.38890038505,-588367.7171330675,-16708.98215470624,1724.5764517729986
-6.572801224046909,-18.53695655469346,11476.92558526076,79888.24015424692,-592987.2184445427,-17366.76513433391,-602.6531421917025
-6.55675042740699,-43.18929424054659,11047.932553463499,67076.19782235647,-595307.7404041031,-17774.45244299742,-746.1705783372745
-6.540699630767071,-67.84163192642154,10618.939521666238,53879.68549426747,-596706.0930635389,-18147.25409694162,-890.7848235239508
-6.524648834127151,-92.49396961231105,10189.946489869268,40298.70316997994,-597182.2764228508,-18485.170096166585,-1036.4958777512948
-6.508598037487232,-117.14630729814962,9760.953458071803,26333.25084949384,-596736.2904820379,-18788.200440672277,-1183.303741019874
-6.492547240847313,-141.7986449840755,9331.960426274949,11983.328532809199,-595368.135241101,-19056.34513045867,-1331.2084133293192
-6.476496444207394,447.57043978689535,7600.097027890151,-3208.882535044564,-591980.7010971288,-19032.341293861587,-2111.8802103802445
-6.460445647567475,502.3881703248421,5517.945234384359,-17831.012748133966,-587527.6567347656,-19393.156391385073,-3094.579611669731
-6.444394850927555,557.2059008627742,3435.793440877693,-32578.991425653017,-582179.3088063993,-19712.396092837076,-4072.638452147483
-6.428344054287637,612.023631400666,1353.64164737158,-47452.81856759852,-575935.6573120315,-19990.060398217527,-5046.056731813704
-6.412293257647717,-3532.0967315992602,-4711.025875847787,-64436.744988590144,-569930.8268586939,-19929.6356648533,-6593.072414685477
-6.396242461007798,-369.3387608240155,1343.215929671307,-79360.47091571824,-558920.6815724972,-20885.201198408537,-8925.469169679669
-6.380191664367879,282.08178651594426,1548.8789679404872,-94675.72612498041,-548623.5439341672,-20425.23214610746,-8842.761267393362
-6.36414086772796,933.5023338559404,1754.5420062096673,-109959.31446865227,-537566.3671290365,-19900.143075177813,-8749.547110309504
-6.34809007108804,1584.9228811960274,1960.2050444791093,-125211.23594673365,-525749.1511571042,-19309.933985619457,-8645.826698427874
-6.332039274448121,2236.3434285360963,2165.8680827485223,-140431.4905592247,-513171.89601837116,-18654.60487743254,-8531.60003174885
-6.315988477808202,3610.953751609028,3216.426462159754,-157573.63114076303,-502098.7293139242,-20409.06228442768,-11270.322766044483
-6.299937681168283,4408.2602558185035,3553.76370444836,-173056.93433070928,-488171.9588659764,-19837.822022704924,-11129.8316993361
-6.283886884528364,5205.566760027916,3891.100946736802,-188565.22150383648,-473485.6764950402,-19233.51542104414,-10980.895242766448
-6.267836087888444,1952.7353278240548,240.20277421151286,-200114.69197967128,-454151.3612808852,-19248.206195940547,-11388.951493890718
-6.251785291248526,6807.196868026142,-331.9564492878545,-216489.39086541772,-437353.44542241265,-14431.560275238675,-10217.464430595002
-6.2357344946086055,5945.424288170096,-1549.5719441938127,-231074.14465970267,-419125.7736704097,-14128.019479071703,-10706.176576967593
-6.219683697968687,6018.602490974023,-1954.8421283721254,-244465.3803835755,-399384.0093366479,-14669.981403300857,-11522.983531392107
-6.203632901328768,6162.912149141193,-2464.3505213146564,-257535.15352320854,-379303.3963321258,-14853.514566337672,-12258.560757667301
-6.187582104688849,6307.221807308466,-2973.8589142570418,-270218.44151906564,-358930.9555727303,-15018.647930008225,-12950.494543847617
-6.171531308048929,6451.53146547584,-3483.3673071993253,-282515.2443711471,-338266.6870584614,-15165.381494312489,-13598.784889932875
-6.15548051140901,6595.841123643098,-3992.87570014174,-294425.56207945314,-317310.5907893196,-15293.715259250675,-14203.431795923389
-6.139429714769091,6740.150781810371,-4502.38409308414,-305949.3946439836,-296062.66676530463,-15403.649224822519,-14764.435261818988
-6.123378918129172,6884.460439977585,-5011.892486026569,-317086.7420647382,-274522.9149864162,-15495.183391028244,-15281.795287619672
-6.107328121489252,7028.770098144858,-5521.400878968998,-327837.6043417172,-252691.3354526547,-15568.317757867626,-15755.511873325355
-6.091277324849333,7173.0797563121305,-6030.909271911369,-338201.98147492064,-230567.92816401998,-15623.052325340843,-16185.585018936254
-6.075226528209415,7000.512777227777,-5459.524833391718,-348077.94522673055,-208247.2652786277,-15294.990703250243,-16500.110653481104
-6.0591757315694945,8869.182055228317,-5966.588134439828,-357020.3038620724,-186334.61136287055,-13967.973500834782,-16398.13737886367
-6.043124934929576,10737.851333228558,-6473.651435487995,-365424.08579558606,-164458.36815450725,-12632.760605015932,-16258.07222447592
-6.027074138289656,12606.520611229149,-6980.714736536149,-373289.2910272741,-142618.5356535335,-11289.352015793684,-16079.915190318066
-6.011023341649738,14475.189889229609,-7487.7780375841485,-380615.9195571344,-120815.11385995384,-9937.747733168304,-15863.666276390106
-5.994972545009818,16343.859167229632,-7994.841338632452,-387403.9713851679,-99048.10277376439,-8577.947757139353,-15609.325482691884
-5.978921748369899,13451.898832503866,-9735.581609422057,-388673.4020939963,-75710.70577526615,-6605.599788430001,-15091.726571329938
-5.96287095172998,13724.543210244505,-9630.141094440656,-393656.0226662635,-54478.17679763975,-6372.804380262503,-15236.749260743203
-5.946820155090061,13997.187587985187,-9524.700579459255,-398062.24738496216,-33395.48512983088,-6115.392440875788,-15357.920969297424
-5.930769358450141,14269.83196572581,-9419.260064477856,-401892.07625009236,-12462.630771839438,-5833.3639702698565,-15455.2416969926
-5.914718561810222,17281.413615068304,-8866.716240854445,-406478.62701850315,8041.790765198931,-2430.565645036393,-14904.039945693268
-5.898667765170303,17440.482055481116,-8721.287816563057,-408241.04652888677,28585.974929255553,-2457.8180692941314,-14644.28028931579
-5.8826169685303835,21262.332255253375,-11161.013673655088,-408121.33968386357,47906.50077508526,-1922.507504693226,-15055.271028776384
-5.866566171890465,15698.294603817852,-8144.793534441677,-411128.98010199354,68609.26561548945,-617.8145594988002,-15695.408265960637
-5.850515375250545,16591.071031365063,-9110.709172697898,-409844.3182584031,86598.27186112461,-221.74993611591898,-15247.169175717914
-5.834464578610627,17483.847458912252,-10076.624810954034,-407987.5193762538,104080.40335383893,190.25084829997195,-14743.970743485117
-5.8184137819707065,18376.62388645939,-11042.540449210232,-405558.5834555451,121055.66009363628,618.1877937492992,-14185.812969262131
-5.802362985330788,19269.400314006518,-12008.45608746634,-402557.5104962778,137524.04208051297,1062.0609002318677,-13572.695853049137
-5.786312188690869,20162.17674155366,-12974.371725722505,-398984.3004984511,153485.54931447166,1521.870167747571,-12904.619394845977
-5.77026139205095,21054.95316910084,-13940.28736397866,-394838.9534620655,168940.1817955115,1997.6155962967669,-12181.58359465269
-5.75421059541103,21947.72959664803,-14906.203002234844,-390121.46938712086,183887.93952363255,2489.2971858790097,-11403.588452469276
-5.738159798771111,21312.704626852574,-13674.120882093317,-384132.1874662957,197037.14277672494,3370.3590096738662,-12012.5936770898
