physical_angle_from_+z_deg,normalized_power
1.207778438766599471e+01,3.776947900878643068e-03
1.199146083216461989e+01,3.809077730275054526e-03
1.190516489220863683e+01,3.834976706325448573e-03
1.181889634573779801e+01,3.854591612167122209e-03
1.173265497129236579e+01,3.867898872130904643e-03
1.164644054800727879e+01,3.874904537794086369e-03
1.156025285560635574e+01,3.875644114368103667e-03
1.147409167439652578e+01,3.870182228870300105e-03
1.138795678526209976e+01,3.858612142420866746e-03
1.130184796965907346e+01,3.841055109881963241e-03
1.121576500960947165e+01,3.817659590910773160e-03
1.112970768769574015e+01,3.788600317327194510e-03
1.104367578705515207e+01,3.754077222495165282e-03
1.095766909137425316e+01,3.714314239179630772e-03
1.087168738488336217e+01,3.669557973064714249e-03
1.078573045235107308e+01,3.620076259798478586e-03
1.069979807907882119e+01,3.566156614062151835e-03
1.061389005089545812e+01,3.508104579743172909e-03
1.052800615415188368e+01,3.446241990818730942e-03
1.044214617571568482e+01,3.380905153026726295e-03
1.035630990296582432e+01,3.312442956811831665e-03
1.027049712378735791e+01,3.241214932383241869e-03
1.018470762656617623e+01,3.167589258006133553e-03
1.009894120018378594e+01,3.091940732869308261e-03
1.001319763401212093e+01,3.014648726025878720e-03
9.927476717908364279e+00,2.936095112991728932e-03
9.841778242209832328e+00,2.856662211607352564e-03
9.756101997728872988e+00,2.776730728722795038e-03
9.670447775747772923e+00,2.696677729153454817e-03
9.584815368013739345e+00,2.616874638177149083e-03
9.499204566733851607e+00,2.537685288601537227e-03
9.413615164570099836e+00,2.459464023127409023e-03
9.328046954634407584e+00,2.382553862369444012e-03
9.242499730483700660e+00,2.307284748474317405e-03
9.156973286115007937e+00,2.233971873799036126e-03
9.071467415960562164e+00,2.162914103583241966e-03
8.985981914882959387e+00,2.094392500971270152e-03
8.900516578170339699e+00,2.028668962116399969e-03
8.815071201531546663e+00,1.965984968435045312e-03
8.729645581091395101e+00,1.906560462376481573e-03
8.644239513385878482e+00,1.850592852338400025e-03
8.558852795357465126e+00,1.798256151594588691e-03
8.473485224350383760e+00,1.749700255312873140e-03
